time,open,High,Low,Close,volume,ADX,DI+,DI-
2014-02-19,578.73,578.8,573.86,578.12,159097280,52.74393419211304,42.90210163440613,8.853226408317138
2014-02-20,579.71,584.1,565.31,571.04,259679130,51.77064580842643,35.22189856826855,15.414143771724959
2014-02-21,571.03,574.61,565.33,570.57,124763395,50.86687802357458,32.159837416559924,14.074095314689986
2014-02-24,571.93,576.58,570.07,576.58,118528370,50.2069012526071,32.042820304995054,13.206707432909004
2014-02-25,575.49,586.2,575.49,586.2,143514510,50.33680935390725,37.730768347985894,11.90661470708252
2014-02-26,590.64,590.79,582.96,589.81,157200690,50.74479625318333,39.23340421315741,11.050158331371508
2014-02-27,588.47,596.4,584.79,584.79,225207222,51.4357103839517,40.16961229355967,9.911692719081772
2014-02-28,586.12,591.36,581.63,586.48,119408907,51.425629146682546,36.75218067627497,11.83142669630338
2014-03-03,586.46,587.11,573.37,573.38,143297444,49.92495796440797,32.54196329563025,17.362811053629954
2014-03-04,563.9,572.28,563.9,569.97,125571957,47.1753432591791,29.98929734669766,23.836786451641142
2014-03-05,576.11,577.5,569.97,574.94,105933313,45.12535693866975,32.46260485761128,22.337915638152943
2014-03-06,576.07,580.04,574.58,578.56,141304493,43.45481098811607,33.1205512759514,21.292416222954625
2014-03-07,579.4,582.24,579.1,579.75,157003150,42.10473201387953,33.99655487783865,20.592836553967476
2014-03-10,580.84,584.81,579.98,583.69,145025550,41.08446365589081,34.77570539324427,19.63743829102191
2014-03-11,585.1,589.45,582.2,588.5,162492886,40.53746769788876,36.728050683263156,18.325548280624584
2014-03-12,590.94,596.38,590.02,590.02,177883620,40.55757600626723,40.44249887600348,16.996488003268087
2014-03-13,591.11,595.22,590.36,595.22,133778877,40.576248006904386,38.46023509808555,16.16341577832984
2014-03-14,596.2,600.68,594.51,596.83,163989570,40.982990248567624,41.40913075545317,15.210749937063198
2014-03-17,603.05,603.24,598.7,600.36,170181160,41.53125504300351,41.31809723775967,14.269766733274414
2014-03-18,602.01,603.21,597.78,599.85,204001807,41.860793332983526,39.110830752030594,14.412569510028685
2014-03-19,600.73,605.91,600.42,605.59,192008350,42.361960254875726,39.43925455685458,13.543032908540663
2014-03-20,607.39,608.29,600.03,600.26,191516978,42.9951185570085,38.57479741752694,12.441234745953457
2014-03-21,600.48,607.22,600.26,601.75,229955020,43.5830512661318,35.92281666621543,11.585911652180696
2014-03-24,606.71,609.2,604.18,607.55,194824295,44.27688375650938,35.236562062146746,10.735152466330113
2014-03-25,607.12,609.01,604.38,601.85,261146500,44.92115678328855,33.585955583321905,10.23227956457412
2014-03-26,603.59,603.68,587.52,588.06,259085050,42.28490991912697,28.557690668614054,24.320213685185983
2014-03-27,588.33,591.7,582.81,590.14,151135930,39.32184029104759,26.231089911253314,26.655203676380413
2014-03-28,592.68,595.7,590.59,594.29,122367440,36.95597667947543,28.60891846739119,25.26864440895317
2014-03-31,594.29,597.22,591.57,591.57,119514830,34.94428809505272,28.517018343763677,23.907663875289366
2014-04-01,590.93,593.03,582.3,583.85,173005169,33.01416390869573,25.687410485516843,30.107814821305645
2014-04-02,584.99,586.5,574.4,581.67,146779523,32.034688585263474,22.92492279561277,33.89131408729647
2014-04-03,584.68,590.91,582.83,589.44,105522983,30.535869887253217,24.940221554787684,31.137497476566722
